id,name_ch,name_jp,name_en,description
106,红线,あかいいと,Destiny Knot,长长的鲜红色细线。携带后，在自己着迷时能让对手也着迷。
107,黑色污泥,くろいヘドロ,Black Sludge,携带后，毒属性的宝可梦会缓缓回复ＨＰ。其他属性的话，ＨＰ则会减少。
108,冰冷岩石,つめたいいわ,Icy Rock,携带它的宝可梦使出冰雹的话，冰雹的时间就会比平时更长。
109,沙沙岩石,さらさらいわ,Smooth Rock,携带它的宝可梦使出沙暴的话，沙暴的时间就会比平时更长。
110,炽热岩石,あついいわ,Heat Rock,携带它的宝可梦使出大晴天的话，晴天的时间就会比平时更长。
111,潮湿岩石,しめったいわ,Damp Rock,携带它的宝可梦使出求雨的话，下雨的时间就会比平时更长。
112,紧缠钩爪,ねばりのかぎづめ,Grip Claw,携带后，绑紧以及紧束等会持续造成伤害的招式的回合数会增加。
113,讲究围巾,こだわりスカーフ,Choice Scarf,有点讲究的围巾。虽然携带后速度会提高，但只能使出相同的招式。
114,附着针,くっつきバリ,Sticky Barb,携带后，每回合都会受到伤害。有时也会附着到碰到自己的对手身上。
115,力量护腕,パワーリスト,Power Bracer,虽然携带后速度会降低，但宝可梦的攻击会比平时成长得更高。
116,力量腰带,パワーベルト,Power Belt,虽然携带后速度会降低，但宝可梦的防御会比平时成长得更高。
117,力量镜,パワーレンズ,Power Lens,虽然携带后速度会降低，但宝可梦的特攻会比平时成长得更高。
118,力量束带,パワーバンド,Power Band,虽然携带后速度会降低，但宝可梦的特防会比平时成长得更高。
119,力量护踝,パワーアンクル,Power Anklet,虽然携带后速度会降低，但宝可梦的速度会比平时成长得更高。
120,力量负重,パワーウエイト,Power Weight,虽然携带后速度会降低，但宝可梦的ＨＰ会比平时成长得更高。
121,美丽空壳,きれいなぬけがら,Shed Shell,结实坚硬的空壳。携带它的宝可梦必定可以和后备的宝可梦进行替换。
122,大根茎,おおきなねっこ,Big Root,携带后，吸取ＨＰ的招式可以比平时更多地回复自己的ＨＰ。
123,讲究眼镜,こだわりメガネ,Choice Specs,有点讲究的眼镜。虽然携带后特攻会提高，但只能使出相同的招式。
124,水流卡带,アクアカセット,Douse Drive,这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为水属性。
125,闪电卡带,イナズマカセット,Shock Drive,这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为电属性。
126,火焰卡带,ブレイズカセット,Burn Drive,这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为火属性。
127,冰冻卡带,フリーズカセット,Chill Drive,这是让盖诺赛克特携带的卡带。携带后，高科技光炮这招式就会变为冰属性。
128,美丽鳞片,きれいなウロコ,Prism Scale,能让某些特定宝可梦进化的神奇鳞片。散发着虹色光辉。
129,进化奇石,しんかのきせき,Eviolite,进化的神奇石块。携带后，还能进化的宝可梦的防御和特防就会提高。
130,轻石,かるいし,Float Stone,非常轻的石头。携带后，宝可梦的体重会变轻。
131,凸凸头盔,ゴツゴツメット,Rocky Helmet,让宝可梦携带后，在受到打击招式攻击时，能给予对手伤害。
132,气球,ふうせん,Air Balloon,让宝可梦携带后，宝可梦会浮在空中。受到攻击就会破裂。
133,红牌,レッドカード,Red Card,有着神奇力量的卡片。携带后，能让使用了招式的对手退场。
134,标靶,ねらいのまと,Ring Target,原本因宝可梦的属性相克关系而无效的招式现在会变得能够击中自己。
135,紧绑束带,しめつけバンド,Binding Band,能增强绑紧招式的束带。携带后，绑紧招式的威力会变强。
136,球根,きゅうこん,Absorb Bulb,一次性使用的球根。携带它的宝可梦如果受到水属性招式的攻击，特攻就会提高。
137,充电电池,じゅうでんち,Cell Battery,一次性使用的充电电池。携带它的宝可梦如果受到电属性招式的攻击，攻击就会提高。
138,逃脱按键,だっしゅつボタン,Eject Button,携带它的宝可梦如果受到招式攻击，就能逃脱战斗，并和同行的其他宝可梦进行替换。
139,火之宝石,ほのおのジュエル,Fire Gem,火属性的宝石。携带后，火属性的招式威力仅会增强１次。
140,水之宝石,みずのジュエル,Water Gem,水属性的宝石。携带后，水属性的招式威力仅会增强１次。
141,电之宝石,でんきのジュエル,Electric Gem,电属性的宝石。携带后，电属性的招式威力仅会增强１次。
142,草之宝石,くさのジュエル,Grass Gem,草属性的宝石。携带后，草属性的招式威力仅会增强１次。
143,冰之宝石,こおりのジュエル,Ice Gem,冰属性的宝石。携带后，冰属性的招式威力仅会增强１次。
144,格斗宝石,かくとうジュエル,Fighting Gem,格斗属性的宝石。携带后，格斗属性的招式威力仅会增强１次。
145,毒之宝石,どくのジュエル,Poison Gem,毒属性的宝石。携带后，毒属性的招式威力仅会增强１次。
146,地面宝石,じめんのジュエル,Ground Gem,地面属性的宝石。携带后，地面属性的招式威力仅会增强１次。
147,飞行宝石,ひこうのジュエル,Flying Gem,飞行属性的宝石。携带后，飞行属性的招式威力仅会增强１次。
148,超能力宝石,エスパージュエル,Psychic Gem,超能力属性的宝石。携带后，超能力属性的招式威力仅会增强１次。
149,虫之宝石,むしのジュエル,Bug Gem,虫属性的宝石。携带后，虫属性的招式威力仅会增强１次。
150,岩石宝石,いわのジュエル,Rock Gem,岩石属性的宝石。携带后，岩石属性的招式威力仅会增强１次。
151,幽灵宝石,ゴーストジュエル,Ghost Gem,幽灵属性的宝石。携带后，幽灵属性的招式威力仅会增强１次。
152,龙之宝石,ドラゴンジュエル,Dragon Gem,龙属性的宝石。携带后，龙属性的招式威力仅会增强１次。
153,恶之宝石,あくのジュエル,Dark Gem,恶属性的宝石。携带后，恶属性的招式威力仅会增强１次。
154,钢之宝石,はがねのジュエル,Steel Gem,钢属性的宝石。携带后，钢属性的招式威力仅会增强１次。
155,一般宝石,ノーマルジュエル,Normal Gem,一般属性的宝石。携带后，一般属性的招式威力仅会增强１次。
156,弱点保险,じゃくてんほけん,Weakness Policy,被针对弱点时，攻击和特攻就会大幅提高。
157,突击背心,とつげきチョッキ,Assault Vest,会变得富有攻击性的背心。虽然携带后特防会提高，但会无法使出变化招式。
158,妖精石板,せいれいプレート,Pixie Plate,妖精属性的石板。携带后，妖精属性的招式威力就会增强。
159,妖精宝石,ようせいジュエル,Fairy Gem,妖精属性的宝石。携带后，妖精属性的招式威力会仅增强１次。
160,泡沫奶油,ホイップポップ,Whipped Dream,松松软软起着泡的，稍微有点甜的奶油。某种宝可梦很喜欢它。
161,香袋,においぶくろ,Sachet,装着散发微浓香气的香料的袋子。某种宝可梦很喜欢它。
162,光苔,ひかりごけ,Luminous Moss,一次性使用的光苔。携带它的宝可梦如果受到水属性招式攻击，特防就会提高。
163,雪球,ゆきだま,Snowball,一次性使用的雪球。携带它的宝可梦如果受到冰属性招式攻击，攻击就会提高。
164,防尘护目镜,ぼうじんゴーグル,Safety Goggles,不单是天气造成的伤害，就连粉末类招式的效果也能防御的护目镜。
165,妙蛙花进化石,フシギバナイト,Venusaurite,让妙蛙花携带后，在战斗时就能进行超级进化的一种神奇超级石。
166,喷火龙进化石Ｘ,リザードナイトX,Charizardite X,让喷火龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
167,喷火龙进化石Ｙ,リザードナイトY,Charizardite Y,让喷火龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
168,水箭龟进化石,カメックスナイト,Blastoisinite,让水箭龟携带后，在战斗时就能进行超级进化的一种神奇超级石。
169,大针蜂进化石,スピアナイト,Beedrillite,大针蜂携带后，在战斗时就能进行超级进化的一种神奇超级石。
170,大比鸟进化石,ピジョットナイト,Pidgeotite,让大比鸟携带后，在战斗时就能进行超级进化的一种神奇超级石。
171,胡地进化石,フーディナイト,Alakazite,让胡地携带后，在战斗时就能进行超级进化的一种神奇超级石。
172,呆壳兽进化石,ヤドランナイト,Slowbronite,让呆壳兽携带后，在战斗时就能进行超级进化的一种神奇超级石。
173,耿鬼进化石,ゲンガナイト,Gengarite,让耿鬼携带后，在战斗时就能进行超级进化的一种神奇超级石。
174,袋兽进化石,ガルーラナイト,Kangaskhanite,让袋兽携带后，在战斗时就能进行超级进化的一种神奇超级石。
175,凯罗斯进化石,カイロスナイト,Pinsirite,让凯罗斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
176,暴鲤龙进化石,ギャラドスナイト,Gyaradosite,让暴鲤龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
177,化石翼龙进化石,リプテラナイト,Aerodactylite,让化石翼龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
178,超梦进化石Ｘ,ミュウツナイトX,Mewtwoite X,让超梦携带后，在战斗时就能进行超级进化的一种神奇超级石。
179,超梦进化石Ｙ,ミュウツナイトY,Mewtwoite Y,让超梦携带后，在战斗时就能进行超级进化的一种神奇超级石。
180,电龙进化石,デンリュウナイト,Ampharosite,让电龙带后，在战斗时就能进行超级进化的一种神奇超级石。
181,大钢蛇进化石,ハガネールナイト,Steelixite,让大钢蛇携带后，在战斗时就能进行超级进化的一种神奇超级石。
182,巨钳螳螂进化石,ハッサムナイト,Scizorite,让巨钳螳螂携带后，在战斗时就能进行超级进化的一种神奇超级石。
183,赫拉克罗斯进化石,ヘラクロスナイト,Heracronite,让赫拉克罗斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
184,黑鲁加进化石,ヘルガナイト,Houndoomite,让黑鲁加携带后，在战斗时就能进行超级进化的一种神奇超级石。
185,班基拉斯进化石,バンギラスナイト,Tyranitarite,让班基拉斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
186,蜥蜴王进化石,ジュカインナイト,Sceptilite,让蜥蜴王携带后，在战斗时就能进行超级进化的一种神奇超级石。
187,火焰鸡进化石,バシャーモナイト,Blazikenite,让火焰鸡携带后，在战斗时就能进行超级进化的一种神奇超级石。
188,巨沼怪进化石,ラグラージナイト,Swampertite,让巨沼怪携带后，在战斗时就能进行超级进化的一种神奇超级石。
189,沙奈朵进化石,サーナイトナイト,Gardevoirnite,让沙奈朵携带后，在战斗时就能进行超级进化的一种神奇超级石。
190,勾魂眼进化石,ヤミラミナイト,Sablenite,让勾魂眼携带后，在战斗时就能进行超级进化的一种神奇超级石。
191,大嘴娃进化石,クチートナイト,Mawilite,让大嘴娃携带后，在战斗时就能进行超级进化的一种神奇超级石。
192,波士可多拉进化石,ボスゴドラナイト,Aggronite,让波士可多拉携带后，在战斗时就能进行超级进化的一种神奇超级石。
193,恰雷姆进化石,チャーレムナイト,Medichamite,让恰雷姆携带后，在战斗时就能进行超级进化的一种神奇超级石。
194,雷电兽进化石,ライボルトナイト,Manectite,让雷电兽携带后，在战斗时就能进行超级进化的一种神奇超级石。
195,巨牙鲨进化石,サメハダナイト,Sharpedonite,让巨牙鲨携带后，在战斗时就能进行超级进化的一种神奇超级石。
196,喷火驼进化石,バクーダナイト,Cameruptite,喷火驼携带后，在战斗时就能进行超级进化的一种神奇超级石。
197,七夕青鸟进化石,チルタリスナイト,Altarianite,让七夕青鸟携带后，在战斗时就能进行超级进化的一种神奇超级石。
198,诅咒娃娃进化石,ジュペッタナイト,Banettite,让诅咒娃娃携带后，在战斗时就能进行超级进化的一种神奇超级石。
199,阿勃梭鲁进化石,アブソルナイト,Absolite,让阿勃梭鲁携带后，在战斗时就能进行超级进化的一种神奇超级石。
200,冰鬼护进化石,オニゴーリナイト,Glalitite,让冰鬼护携带后，在战斗时就能进行超级进化的一种神奇超级石。
201,暴飞龙进化石,ボーマンダナイト,Salamencite,暴飞龙携带后，在战斗时就能进行超级进化的一种神奇超级石。
202,巨金怪进化石,メタグロスナイト,Metagrossite,让巨金怪携带后，在战斗时就能进行超级进化的一种神奇超级石。
203,拉帝亚斯进化石,ラティアスナイト,Latiasite,让拉帝亚斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
204,拉帝欧斯进化石,ラティオスナイト,Latiosite,让拉帝欧斯携带后，在战斗时就能进行超级进化的一种神奇超级石。
205,长耳兔进化石,ミミロップナイト,Lopunnite,长耳兔携带后，在战斗时就能进行超级进化的一种神奇超级石。
206,路卡利欧进化石,ルカリオナイト,Lucarionite,让路卡利欧携带后，在战斗时就能进行超级进化的一种神奇超级石。
207,烈咬陆鲨进化石,ガブリアスナイト,Garchompite,让烈咬陆鲨携带后，在战斗时就能进行超级进化的一种神奇超级石。
208,暴雪王进化石,ユキノオナイト,Abomasite,让暴雪王携带后，在战斗时就能进行超级进化的一种神奇超级石。
209,艾路雷朵进化石,エルレイドナイト,Galladite,让艾路雷朵携带后，在战斗时就能进行超级进化的一种神奇超级石。
210,差不多娃娃进化石,タブンネナイト,Audinite,让差不多娃娃携带后，在战斗时就能进行超级进化的一种神奇超级石。
211,蒂安希进化石,ディアンシナイト,Diancite,让蒂安希携带后，在战斗时就能进行超级进化的一种神奇超级石。
212,朱红色宝珠,べにいろのたま,Red Orb,散发着红色光辉的宝珠。据说和丰缘地区的传说渊源颇深。
213,靛蓝色宝珠,あいいろのたま,Blue Orb,散发着蓝色光辉的宝珠。据说和丰缘地区的传说渊源颇深。
214,胆怯球,ビビリだま,Adrenaline Orb,使用后会容易呼唤伙伴，但使用后会消失。携带后，在受到威吓时速度会提高。
215,大地膜,グランドコート,Terrain Extender,当携带它的宝可梦利用招式或特性展开场地时，场地的持续时间会比平时更长。
216,部位护具,ぼうごパット,Protective Pads,不会受到触碰攻击对手时本应受到的效果。
217,电气种子,エレキシード,Electric Seed,让宝可梦携带后，在电气场地上使用，防御就会提高。
218,精神种子,サイコシード,Psychic Seed,让宝可梦携带后，在精神场地上使用，特防就会提高。
219,薄雾种子,ミストシード,Misty Seed,让宝可梦携带后，在薄雾场地上使用，特防就会提高。
220,青草种子,グラスシード,Grassy Seed,让宝可梦携带后，在青草场地上使用，防御就会提高。
221,战斗存储碟,ファイトメモリ,Fighting Memory,装有格斗属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
222,飞翔存储碟,フライングメモリ,Flying Memory,装有飞行属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
223,毒存储碟,ポイズンメモリ,Poison Memory,装有毒属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
224,大地存储碟,グラウンドメモリ,Ground Memory,装有地面属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
225,岩石存储碟,ロックメモリ,Rock Memory,装有岩石属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
226,虫子存储碟,バグメモリ,Bug Memory,装有虫属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
227,幽灵存储碟,ゴーストメモリ,Ghost Memory,装有幽灵属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
228,钢铁存储碟,スチールメモリ,Steel Memory,装有钢属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
229,火焰存储碟,ファイヤーメモリ,Fire Memory,装有火属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
230,清水存储碟,ウオーターメモリ,Water Memory,装有水属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
231,青草存储碟,グラスメモリ,Grass Memory,装有草属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
232,电子存储碟,エレクトロメモリ,Electric Memory,装有电属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
233,精神存储碟,サイキックメモリ,Psychic Memory,装有超能力属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
234,冰雪存储碟,アイスメモリ,Ice Memory,装有冰属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
235,龙存储碟,ドラゴンメモリ,Dragon Memory,装有龙属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
236,黑暗存储碟,ダークメモリ,Dark Memory,装有恶属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
237,妖精存储碟,フェアリーメモリ,Fairy Memory,装有妖精属性数据的存储碟。特定宝可梦携带后，属性就会发生变化。
238,樱子果,クラボのみ,Cheri Berry,让宝可梦携带后，可以治愈麻痹。
239,零余果,カゴのみ,Chesto Berry,让宝可梦携带后，可以治愈睡眠。
240,桃桃果,モモンのみ,Pecha Berry,让宝可梦携带后，可以治愈中毒。
241,莓莓果,チーゴのみ,Rawst Berry,让宝可梦携带后，可以治愈灼伤。
242,利木果,ナナシのみ,Aspear Berry,让宝可梦携带后，可以治愈冰冻。
